trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.00299815767, 'e': 0.6416405412542994}",25,0,-22.64639182447931,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
149,False,"{'a': 0.00299815767, 'e': 0.6397196839915661}",20,0,-58.40434858055678,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.00299815767, 'e': 0.6378045771332829}",35,2,-16.34374178545705,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 0}",1
151,False,"{'a': 0.00299815767, 'e': 0.6358952034646614}",20,0,8.153747344414832,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.00299815767, 'e': 0.6339915458224485}",20,0,-0.02748487051521309,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.00299815767, 'e': 0.6320935870947721}",20,12,13.396789277233971,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.00299815767, 'e': 0.6302013102209876}",25,0,-49.09124231574512,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
155,False,"{'a': 0.00299815767, 'e': 0.6283146981915237}",20,0,-87.19886109051512,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
156,False,"{'a': 0.00299815767, 'e': 0.6264337340477307}",35,8,-79.62520875659737,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 1}",1
157,False,"{'a': 0.00299815767, 'e': 0.6245584008817271}",20,0,-44.960784123217174,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
158,False,"{'a': 0.00299815767, 'e': 0.6226886818362479}",20,0,-115.97411569085607,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
159,False,"{'a': 0.00299815767, 'e': 0.6208245601044932}",25,4,-45.89039785779383,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.00299815767, 'e': 0.618966018929977}",20,11,-35.75142375990456,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.00299815767, 'e': 0.6171130416063769}",20,7,0.5192990445629282,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.00299815767, 'e': 0.6152656114773831}",20,8,2.824566635546513,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.00299815767, 'e': 0.6134237119365498}",30,0,-75.43110664656366,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.00299815767, 'e': 0.6115873264271449}",20,14,0.7714195272650268,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.00299815767, 'e': 0.6097564384420017}",30,2,-101.42079846261664,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 2}",1
166,False,"{'a': 0.00299815767, 'e': 0.6079310315233707}",30,0,-201.81052523077787,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",1
167,False,"{'a': 0.00299815767, 'e': 0.6061110892627712}",20,0,-37.887135802004764,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
168,False,"{'a': 0.00299815767, 'e': 0.6042965953008441}",20,3,-55.674334735333865,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.00299815767, 'e': 0.6024875333272046}",30,0,-22.057749357469923,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
170,False,"{'a': 0.00299815767, 'e': 0.6006838870802959}",20,0,-87.89163498421266,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
171,False,"{'a': 0.00299815767, 'e': 0.5988856403472426}",25,0,-63.98443757067802,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
172,False,"{'a': 0.00299815767, 'e': 0.5970927769637057}",20,0,-121.13178003451169,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
173,False,"{'a': 0.00299815767, 'e': 0.5953052808137362}",30,18,-5.956672255678687,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.00299815767, 'e': 0.5935231358296316}",20,10,-15.674612618395466,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.00299815767, 'e': 0.59174632599179}",20,0,-41.58792313723273,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
176,False,"{'a': 0.00299815767, 'e': 0.5899748353285674}",25,9,-40.801182930387554,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
