trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
264,False,"{'a': 0.0119926306926773, 'e': 0.04216974014976782}",20,0,25.282927733464724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.0119926306926773, 'e': 0.04166703477289699}",25,18,11.092422291848509,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.0119926306926773, 'e': 0.04117032214568594}",20,10,21.549138755051022,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.0119926306926773, 'e': 0.0406795308285795}",30,13,25.263409835482754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.0119926306926773, 'e': 0.04019459023365335}",20,7,22.389377174952276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.0119926306926773, 'e': 0.03971543061446162}",35,18,31.564787765242915,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.0119926306926773, 'e': 0.03924198305600565}",25,7,31.278330531134735,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.0119926306926773, 'e': 0.03877417946482235}",20,3,29.21832592945182,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.0119926306926773, 'e': 0.038311952559190635}",20,2,27.387921499404058,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.0119926306926773, 'e': 0.03785523585945468}",25,3,34.628032253150884,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.0119926306926773, 'e': 0.03740396367846245}",20,13,14.445101457260058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.0119926306926773, 'e': 0.03695807111211834}",25,3,27.3297132229821,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.0119926306926773, 'e': 0.036517494030048295}",20,0,14.804699099754355,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
277,False,"{'a': 0.0119926306926773, 'e': 0.036082169066376346}",20,12,17.21617322335042,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.0119926306926773, 'e': 0.03565203361061093}",20,0,33.34920186368376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
279,False,"{'a': 0.0119926306926773, 'e': 0.03522702579864004}",20,13,12.10274632143114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.0119926306926773, 'e': 0.034807084503833616}",20,8,19.052416178319305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.0119926306926773, 'e': 0.03439214932825203}",20,6,25.650274760656714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.0119926306926773, 'e': 0.03398216059395929}",25,6,19.94297361847366,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.0119926306926773, 'e': 0.03357705933444002}",20,6,24.788114832760037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.0119926306926773, 'e': 0.03317678728611851}",25,9,22.174218843295638,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.0119926306926773, 'e': 0.03278128687997898}",30,0,51.91396252336413,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
286,False,"{'a': 0.0119926306926773, 'e': 0.03239050123328579}",25,12,22.125368510171544,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.0119926306926773, 'e': 0.03200437414140226}",25,11,26.38714901758528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.0119926306926773, 'e': 0.031622850069707054}",20,16,7.5558737931411795,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.0119926306926773, 'e': 0.031245874145606905}",20,13,14.049838726044712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.0119926306926773, 'e': 0.030873392150644635}",20,0,7.174109351254465,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
291,False,"{'a': 0.0119926306926773, 'e': 0.030505350512701174}",25,7,35.91472784037843,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.0119926306926773, 'e': 0.030141696298290555}",30,8,39.07896243107726,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.0119926306926773, 'e': 0.029782377204946753}",20,1,39.83089152166497,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.0119926306926773, 'e': 0.029427341553701355}",20,0,26.278837785302688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
295,False,"{'a': 0.0119926306926773, 'e': 0.029076538281650813}",20,11,-2.434874809689489,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
296,False,"{'a': 0.0119926306926773, 'e': 0.028729916934612305}",20,6,26.05831736703094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.0119926306926773, 'e': 0.028387427659867234}",25,9,29.314498200322163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.0119926306926773, 'e': 0.02804902119899115}",25,6,-0.7907317436231529,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
299,False,"{'a': 0.0119926306926773, 'e': 0.027714648880769174}",20,0,26.371157580169385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.0119926306926773, 'e': 0.02738426261419583}",20,13,14.553048329054688,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.0119926306926773, 'e': 0.02705781488155845}",25,12,24.261381537906704,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.0119926306926773, 'e': 0.0267352587316029}",25,0,30.526891644506254,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
303,False,"{'a': 0.0119926306926773, 'e': 0.026416547772780852}",20,6,25.78128687271994,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.0119926306926773, 'e': 0.026101636166577482}",30,13,29.600262690670075,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.0119926306926773, 'e': 0.025790478620918832}",20,3,32.290566215452145,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.0119926306926773, 'e': 0.025483030383657655}",20,16,10.915594536995807,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.0119926306926773, 'e': 0.02517924723613694}",30,8,41.000021784427325,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.0119926306926773, 'e': 0.024879085486830176}",20,10,17.440715701175225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
